location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,12/31/2019,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/1/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/2/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/3/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/4/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/5/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/6/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/7/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/8/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/9/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/10/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/11/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/12/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/13/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/14/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/15/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/16/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/17/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/18/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/19/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/20/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/21/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/22/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/23/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/24/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/25/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/26/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/27/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/28/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/29/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/30/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,1/31/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/1/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/2/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/3/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/4/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/5/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/6/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/7/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/8/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/9/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/10/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/11/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/12/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/13/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/14/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/15/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/16/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/17/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/18/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/19/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/20/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/21/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/22/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/23/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/24/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/25/2020,1,0,38928341,2.581,1803.987,0.5
Afghanistan,2/26/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/27/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/28/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,2/29/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/1/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/2/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/8/2020,3,0,38928341,2.581,1803.987,0.5
Afghanistan,3/11/2020,3,0,38928341,2.581,1803.987,0.5
Afghanistan,3/15/2020,3,0,38928341,2.581,1803.987,0.5
Afghanistan,3/16/2020,6,0,38928341,2.581,1803.987,0.5
Afghanistan,3/17/2020,5,0,38928341,2.581,1803.987,0.5
Afghanistan,3/18/2020,1,0,38928341,2.581,1803.987,0.5
Afghanistan,3/19/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/20/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/21/2020,2,0,38928341,2.581,1803.987,0.5
Afghanistan,3/22/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/23/2020,10,0,38928341,2.581,1803.987,0.5
Afghanistan,3/24/2020,6,1,38928341,2.581,1803.987,0.5
Afghanistan,3/25/2020,2,0,38928341,2.581,1803.987,0.5
Afghanistan,3/26/2020,33,0,38928341,2.581,1803.987,0.5
Afghanistan,3/27/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,3/28/2020,16,1,38928341,2.581,1803.987,0.5
Afghanistan,3/29/2020,15,1,38928341,2.581,1803.987,0.5
Afghanistan,3/30/2020,8,1,38928341,2.581,1803.987,0.5
Afghanistan,3/31/2020,27,0,38928341,2.581,1803.987,0.5
Afghanistan,4/1/2020,25,0,38928341,2.581,1803.987,0.5
